RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,12/31/00,12/31/01,12/31/02,12/31/03,12/31/04,12/31/05,12/31/06,12/31/07,12/31/08,12/31/09,12/31/10,12/31/11,12/31/12,12/31/13,12/31/14,12/31/15,12/31/16,12/31/17,11/30/18,11/30/19,12/31/20,12/31/21,12/31/22,12/31/23,12/31/24,12/31/25,4/30/26
699,1654,Routt County,county,CO,CO,"Steamboat Springs, CO",8,107,242399.143,260434.812,271660.8465,277852.0711,291158.487,,326544.9136,376665.5493,396597.4968,385608.2063,373788.4225,364922.0619,377820.8987,398132.2211,409760.6034,438675.2606,474922.0961,509336.7714,546957.8844,577795.8689,655517.0119,871383.1185,993182.4202,1029856.034,1094747.34,1104215.245,1116529.949
1001,1611,Elbert County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,39,246816.9359,263852.0854,273557.4584,278845.5841,290822.9627,304810.8319,309596.579,307569.6491,287249.4822,275331.0139,268195.7861,263124.8074,280165.5353,308184.9119,330790.9113,367636.6132,404403.6508,439130.9229,466258.9811,495092.0208,551528.7408,650146.085,680965.0605,674213.6822,689214.3782,687528.7715,675983.2769
1549,216,Boulder County,county,CO,CO,"Boulder, CO",8,13,265770.7452,298315.5051,301395.0479,296914.7976,304240.0937,314516.8919,317075.992,320722.6045,318660.0064,315579.0166,311588.3223,306765.471,333559.5899,361293.1776,390052.0371,445237.1832,495967.7842,527245.1741,546894.3688,562629.7631,603669.7258,702198.0253,765454.2335,754922.9899,757422.466,735892.9566,728820.6882
1670,204,Douglas County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,35,267034.8242,288983.4989,292971.8966,297818.9623,310085.1,319122.9665,324153.2405,323518.6493,309801.8624,302720.8313,315681.8501,310082.2545,336207.6154,371511.0616,396790.0513,438076.8184,464764.9312,493797.708,516740.896,533314.1775,574077.2749,693499.1697,736080.0192,735866.1351,745812.286,724216.1748,715704.4504
491,932,Eagle County,county,CO,CO,"Edwards, CO",8,37,324403.1103,332149.028,339171.6404,352619.386,380787.9446,458213.7054,541693.4469,587393.3473,534519.1246,491739.3131,467674.4664,400753.8571,440527.8345,484913.9116,520948.337,567060.7088,597210.1263,627030.9298,667222.4391,683608.5476,,977972.7962,1125186.749,1187007.747,1267895.037,1272395.472,1289318.743
3022,2651,San Miguel County,county,CO,CO,,8,113,411176.292,444602.7444,470585.7551,490468.0577,523175.1061,570172.3884,594426.6375,607833.8878,610717.1268,592219.0013,563565.8623,514216.1928,462544.1209,511089.9294,580378.6359,692090.4225,688050.2451,723736.1406,794170.5066,847358.5982,936780.7243,1312679.963,1517290.093,1421061.36,1461887.203,1524448.611,1577511.859
1324,2008,Pitkin County,county,CO,CO,"Glenwood Springs, CO",8,97,705602.5396,759330.3323,772649.0247,780562.5398,808208.5613,855094.0792,896081.2915,919463.2694,927018.3971,911997.3387,886130.9921,889290.4401,914070.4756,997128.2007,1048614.616,1123151.631,1142438.126,1168041.992,1247575.842,1290803.355,1418254.164,1923496.473,2158494.632,2165423.326,2377236.51,2476733.756,2571403.124
2894,766,Broomfield County,county,CO,CO,"Denver-Aurora-Lakewood, CO",8,14,,,,,,295400.0535,296712.5203,291247.176,291722.6566,282537.6855,276078.1216,271740.8328,286506.1716,308370.7941,331222.0611,372277.2909,409479.8691,439561.7724,457284.5936,475436.4509,510739.188,607239.1812,644384.7316,646152.4458,649032.9543,638174.7473,630607.7604
2369,933,La Plata County,county,CO,CO,"Durango, CO",8,67,,,,,,,,,,310113.3535,302472.3691,295673.8581,305099.2353,324681.5897,344695.1164,364268.4679,380516.8596,400515.3666,411714.6176,421950.7098,452468.8053,544803.3829,618460.5989,646915.7633,664024.7248,672553.918,674886.0054
1713,1021,Fremont County,county,CO,CO,"Ca-¦on City, CO",8,43,,,,,,,,,,,,,,,,,177469.2217,192759.0651,209563.1307,226331.3646,255520.4367,306508.0687,324856.9095,329534.7654,339318.255,342486.5251,341361.411
